,Participant ID,Urban/Rural,Age Group,Marital Status,sex,Kids under 14,Feeling Rushed,Sleep duration
0,10000,1,5,5,1,0,1,510
1,10001,1,5,1,1,0,3,420
2,10002,1,4,1,2,3,1,570
3,10003,1,6,5,2,0,2,510
4,10004,1,2,6,1,0,1,525
5,10005,1,1,6,1,2,1,435
6,10006,1,1,6,1,1,4,635
7,10007,1,5,3,2,0,5,440
8,10008,2,2,1,2,1,2,525
9,10009,1,6,3,1,0,6,540
10,10010,3,3,1,2,3,2,480
11,10011,1,2,6,2,1,1,630
12,10012,2,2,1,2,3,1,390
13,10013,1,3,1,1,3,4,510
14,10014,1,2,1,2,1,2,500
15,10015,1,5,3,1,0,1,570
16,10016,2,7,1,1,0,6,660
17,10017,1,4,1,1,0,2,480
18,10018,2,6,1,2,0,3,510
19,10019,1,2,1,1,2,2,480
20,10020,1,7,3,2,0,3,360
21,10021,1,5,1,2,0,6,660
22,10022,1,3,2,1,0,3,480
23,10023,1,6,1,2,0,3,330
24,10024,1,4,6,2,0,1,545
25,10025,1,2,6,1,0,4,660
26,10026,1,2,2,2,2,1,480
27,10027,1,1,6,1,1,2,600
28,10028,1,7,1,1,0,4,655
29,10029,1,5,1,2,0,3,450
30,10030,2,6,1,2,0,1,600
31,10031,1,7,1,2,0,6,495
32,10032,1,2,6,1,0,1,450
33,10033,1,3,1,2,1,2,420
34,10034,1,3,1,2,2,1,390
35,10035,1,4,1,2,0,2,420
36,10036,2,3,2,1,3,1,435
37,10037,2,6,5,1,0,1,450
38,10038,2,6,1,2,0,4,540
39,10039,1,3,1,1,1,1,530
40,10040,2,5,4,2,0,6,500
41,10041,1,3,1,2,1,3,540
42,10042,1,2,2,2,0,2,665
43,10043,1,3,5,2,1,1,480
44,10044,1,2,2,2,3,2,540
45,10045,1,3,1,1,2,1,420
46,10046,1,6,1,2,0,6,525
47,10047,2,7,1,1,0,3,510
48,10048,1,6,4,1,0,2,270
49,10049,1,2,1,2,0,2,460
50,10050,1,5,4,1,0,2,630
51,10051,1,4,1,2,0,1,760
52,10052,1,5,1,2,0,2,430
53,10053,1,4,1,2,0,1,600
54,10054,1,1,6,2,0,2,670
55,10055,1,3,1,2,2,1,315
56,10056,1,2,1,2,1,1,415
57,10057,3,4,1,2,0,2,480
58,10058,1,4,6,2,0,1,400
59,10059,1,1,6,2,0,2,770
60,10060,1,5,1,2,0,1,270
61,10061,2,5,1,1,0,4,750
62,10062,1,3,1,2,0,2,390
63,10063,1,1,6,1,1,1,540
64,10064,1,2,2,1,0,3,615
65,10065,1,2,1,2,1,2,420
66,10066,1,3,6,1,0,1,570
67,10067,1,6,1,2,0,2,485
68,10068,2,2,6,2,0,3,660
69,10069,1,3,1,2,1,2,480
70,10070,1,5,1,2,0,6,600
71,10071,1,6,3,2,0,5,510
72,10072,1,5,1,2,0,2,450
73,10073,1,7,1,2,0,1,590
74,10074,2,4,6,1,0,1,480
75,10075,1,7,3,2,0,3,630
76,10076,1,4,5,2,0,1,630
77,10077,1,5,5,1,0,4,505
78,10078,1,7,1,2,0,6,900
79,10079,3,6,3,2,0,6,720
80,10080,1,1,6,1,1,2,400
81,10081,1,6,5,2,0,5,525
82,10082,1,2,1,2,0,1,495
83,10083,3,6,1,1,0,1,480
84,10084,2,6,1,1,0,6,310
85,10085,1,2,2,1,1,3,810
86,10086,1,3,1,2,2,2,530
87,10087,1,3,1,1,0,2,300
88,10088,2,1,6,1,0,2,435
89,10089,1,6,1,2,0,4,480
90,10090,2,2,6,1,0,2,555
91,10091,1,3,1,2,2,2,390
92,10092,1,6,3,2,0,2,690
93,10093,1,3,1,1,1,6,270
94,10094,2,5,5,1,0,2,180
95,10095,1,2,1,2,0,2,450
96,10096,1,6,1,1,0,6,450
97,10097,1,2,1,2,0,3,460
98,10098,1,3,6,2,2,1,540
99,10099,1,5,6,2,0,1,510
100,10100,1,7,1,1,0,3,570
101,10101,1,3,1,2,2,2,570
102,10102,1,5,1,1,0,1,690
103,10103,1,5,6,1,0,1,390
104,10104,1,5,1,2,0,1,720
105,10105,1,3,2,1,2,1,390
106,10106,1,4,6,1,0,2,630
107,10107,1,6,1,1,0,6,535
108,10108,1,7,5,1,0,6,460
109,10109,1,4,1,2,0,1,500
110,10110,1,3,6,2,0,2,420
111,10111,1,1,6,1,0,2,235
112,10112,1,2,1,2,1,2,450
113,10113,1,2,6,2,0,2,540
114,10114,1,2,2,1,2,1,405
115,10115,3,3,6,1,0,3,630
116,10116,1,2,1,1,0,2,600
117,10117,1,5,6,1,0,1,540
118,10118,1,7,5,2,0,6,705
119,10119,1,4,1,2,0,2,700
120,10120,1,1,6,2,0,2,570
121,10121,1,3,6,2,0,2,570
122,10122,1,3,6,2,3,4,595
123,10123,1,6,1,2,0,3,500
124,10124,1,4,6,2,0,6,540
125,10125,2,6,3,2,0,3,650
126,10126,3,7,1,1,0,5,465
127,10127,1,4,2,2,0,4,510
128,10128,2,5,1,1,0,6,385
129,10129,1,6,6,2,0,1,510
130,10130,2,5,3,1,0,3,605
131,10131,2,5,3,1,0,3,480
132,10132,1,4,5,2,0,1,610
133,10133,1,6,6,2,0,2,480
134,10134,1,3,1,2,2,1,395
135,10135,1,4,6,1,0,3,480
136,10136,1,4,6,1,0,3,600
137,10137,1,1,6,1,0,3,600
138,10138,1,2,2,1,0,6,360
139,10139,1,3,1,2,1,2,800
140,10140,1,7,1,1,0,1,690
141,10141,2,4,1,2,0,1,510
142,10142,1,4,1,1,1,1,450
143,10143,2,5,2,2,0,2,40
144,10144,1,6,3,2,2,6,570
145,10145,1,4,1,2,0,3,865
146,10146,2,4,1,1,0,3,450
147,10147,1,6,1,2,0,2,525
148,10148,1,3,2,2,1,1,535
149,10149,1,6,3,2,0,5,630
150,10150,1,6,5,2,0,3,630
151,10151,1,3,1,2,3,97,590
152,10152,1,7,3,2,0,6,600
153,10153,1,5,2,1,0,2,480
154,10154,2,6,1,1,0,5,360
155,10155,2,3,2,1,2,2,510
156,10156,1,6,1,2,0,1,390
157,10157,1,6,1,2,0,4,500
158,10158,1,6,5,2,0,4,420
159,10159,1,3,2,1,0,2,480
160,10160,1,5,1,1,0,6,450
161,10161,1,3,6,1,0,1,540
162,10162,1,2,6,1,0,2,440
163,10163,2,3,6,1,0,3,465
164,10164,1,5,1,1,0,1,600
165,10165,1,5,3,2,0,2,560
166,10166,1,3,1,2,2,1,360
167,10167,2,3,6,2,0,3,0
168,10168,1,4,1,2,2,1,520
169,10169,2,7,3,2,0,4,825
170,10170,3,6,3,1,0,6,635
171,10171,1,5,1,1,0,2,520
172,10172,3,5,1,2,0,4,400
173,10173,1,7,1,1,0,6,560
174,10174,2,7,4,1,0,6,480
175,10175,1,6,3,2,0,2,575
176,10176,1,3,6,1,0,4,420
177,10177,1,4,5,1,0,2,405
178,10178,1,2,1,2,2,1,540
179,10179,1,1,6,1,0,2,495
180,10180,3,6,3,2,0,6,360
181,10181,2,3,1,1,1,2,695
182,10182,1,4,1,2,0,3,420
183,10183,1,6,5,2,0,3,510
184,10184,1,2,2,1,0,2,395
185,10185,1,6,1,2,0,3,545
186,10186,1,3,1,2,1,1,370
187,10187,1,2,1,2,3,1,480
188,10188,1,6,1,1,0,3,510
189,10189,1,6,1,1,0,6,435
190,10190,1,4,6,1,0,4,560
191,10191,1,1,6,1,0,3,660
192,10192,1,6,1,1,0,3,485
193,10193,1,7,6,1,0,3,660
194,10194,1,4,6,2,0,2,530
195,10195,2,6,1,2,0,4,690
196,10196,1,5,1,2,0,1,370
197,10197,2,6,1,1,0,6,630
198,10198,1,2,2,1,0,1,420
199,10199,2,4,1,1,2,2,420
200,10200,1,4,5,2,1,1,360
201,10201,1,5,2,2,0,2,570
202,10202,2,3,1,2,3,1,625
203,10203,1,2,6,1,0,4,600
204,10204,3,7,3,2,0,3,540
205,10205,2,1,6,1,0,3,600
206,10206,3,7,3,2,0,3,660
207,10207,2,5,1,2,0,1,365
208,10208,1,5,1,2,0,1,450
209,10209,1,6,1,1,0,6,510
210,10210,1,2,6,1,0,4,510
211,10211,1,5,1,2,0,3,455
212,10212,1,2,6,1,0,2,750
213,10213,1,3,6,2,0,6,765
214,10214,2,5,2,1,0,1,450
215,10215,2,6,1,2,0,4,480
216,10216,1,6,1,1,0,4,485
217,10217,1,4,5,1,0,1,460
218,10218,1,3,1,1,0,2,735
219,10219,2,6,1,1,0,4,600
220,10220,1,2,6,2,0,2,480
221,10221,1,4,5,2,0,6,1070
222,10222,2,6,1,2,0,1,300
223,10223,1,6,6,1,0,3,525
224,10224,1,7,5,2,0,6,420
225,10225,1,5,5,2,0,3,465
226,10226,1,7,4,1,0,6,745
227,10227,1,6,6,2,0,2,480
228,10228,2,5,1,2,0,3,480
229,10229,1,2,1,2,3,1,540
230,10230,1,4,1,2,1,2,510
231,10231,2,6,2,1,0,5,590
232,10232,2,7,3,2,0,6,570
233,10233,1,4,6,2,0,1,540
234,10234,2,6,1,1,0,6,290
235,10235,1,3,1,2,2,1,480
236,10236,1,2,6,1,0,2,390
237,10237,1,7,3,2,0,4,595
238,10238,2,4,1,2,0,1,900
239,10239,1,6,3,2,0,6,420
240,10240,1,3,1,2,1,1,660
241,10241,1,5,1,1,0,1,840
242,10242,1,5,5,2,0,2,535
243,10243,1,1,6,1,0,2,430
244,10244,3,2,2,1,3,2,920
245,10245,2,5,1,1,0,6,720
246,10246,3,2,6,2,0,2,380
247,10247,1,5,6,1,0,5,510
248,10248,1,1,6,1,0,1,805
249,10249,1,1,6,1,0,3,270
250,10250,2,4,1,2,1,1,480
251,10251,1,2,6,2,0,1,40
252,10252,1,6,1,1,0,1,660
253,10253,1,2,6,1,0,2,520
254,10254,1,3,2,2,1,1,510
255,10255,1,3,2,2,1,2,560
256,10256,1,6,1,2,0,6,450
257,10257,1,3,1,1,0,3,625
258,10258,1,1,6,1,1,4,630
259,10259,1,1,6,2,2,2,370
260,10260,1,4,1,2,0,1,435
261,10261,1,3,6,1,0,4,660
262,10262,1,1,6,2,0,2,390
263,10263,1,5,1,2,0,6,540
264,10264,1,2,1,1,1,2,255
265,10265,1,2,6,2,0,1,390
266,10266,1,7,1,1,0,1,360
267,10267,2,6,6,1,0,2,680
268,10268,2,5,1,2,0,2,490
269,10269,2,3,2,2,2,2,570
270,10270,1,2,1,2,1,2,600
271,10271,1,2,6,1,0,3,425
272,10272,2,4,6,1,0,1,550
273,10273,1,7,3,1,0,2,585
274,10274,1,5,1,1,0,2,390
275,10275,2,2,1,2,3,3,530
276,10276,3,7,3,2,0,6,725
277,10277,1,3,2,2,2,1,495
278,10278,2,6,1,2,0,4,525
279,10279,1,3,1,2,2,1,520
280,10280,2,5,1,2,0,3,490
281,10281,2,5,1,1,0,3,430
282,10282,1,6,5,2,0,2,510
283,10283,2,7,6,2,0,2,570
284,10284,2,5,1,1,0,2,525
285,10285,1,2,6,2,1,3,600
286,10286,1,5,3,2,0,3,460
287,10287,3,5,1,1,0,2,210
288,10288,1,1,6,1,1,1,360
289,10289,1,4,1,1,2,3,735
290,10290,1,3,2,1,1,1,585
291,10291,1,1,6,1,1,4,450
292,10292,1,2,6,2,0,2,450
293,10293,1,5,1,2,0,1,345
294,10294,1,5,1,2,0,2,510
295,10295,2,4,1,2,2,1,480
296,10296,2,5,1,2,1,1,390
297,10297,1,5,6,2,0,2,825
298,10298,1,5,1,2,0,2,575
299,10299,1,6,3,2,0,6,540
300,10300,1,5,6,2,0,5,480
301,10301,2,3,1,2,2,1,465
302,10302,2,6,1,1,0,6,510
303,10303,1,5,6,1,0,3,525
304,10304,1,2,1,2,3,1,570
305,10305,2,5,1,1,0,2,420
306,10306,1,4,1,1,0,2,380
307,10307,1,3,2,1,3,1,465
308,10308,1,4,5,2,0,2,1110
309,10309,2,1,6,2,0,2,570
310,10310,2,2,1,1,2,2,500
311,10311,1,1,6,1,1,2,720
312,10312,1,2,1,2,3,1,510
313,10313,1,3,1,2,2,1,540
314,10314,1,4,1,2,0,2,470
315,10315,1,1,6,2,0,2,485
316,10316,2,4,1,1,0,2,480
317,10317,1,1,6,2,0,4,600
318,10318,1,4,6,2,0,1,390
319,10319,2,2,1,2,3,3,605
320,10320,1,5,1,2,0,4,980
321,10321,1,6,1,1,0,6,540
322,10322,2,5,3,2,0,1,90
323,10323,1,6,5,1,0,6,630
324,10324,1,6,5,1,0,6,420
325,10325,1,6,1,2,0,2,560
326,10326,1,2,2,1,0,3,630
327,10327,1,6,1,2,0,6,735
328,10328,1,6,1,2,0,6,500
329,10329,1,5,1,2,0,6,600
330,10330,1,3,4,2,1,6,510
331,10331,1,5,1,2,0,1,480
332,10332,2,2,2,1,0,1,405
333,10333,1,6,2,1,0,6,480
334,10334,1,5,1,1,0,3,340
335,10335,1,3,1,1,2,3,360
336,10336,1,5,1,1,0,1,395
337,10337,2,3,1,1,0,1,370
338,10338,1,1,6,2,0,1,690
339,10339,1,5,1,1,0,4,480
340,10340,1,4,1,2,0,2,400
341,10341,1,7,6,2,0,97,360
342,10342,1,6,1,2,0,1,670
343,10343,1,4,1,2,0,2,420
344,10344,1,3,1,1,0,1,530
345,10345,1,3,1,1,3,1,480
346,10346,1,4,1,2,0,2,410
347,10347,3,5,1,2,0,6,460
348,10348,1,3,1,2,1,1,450
349,10349,1,5,1,1,0,4,410
350,10350,1,5,6,2,1,1,420
351,10351,2,4,2,2,2,6,510
352,10352,1,3,6,1,0,3,540
353,10353,2,4,1,2,1,2,590
354,10354,1,2,1,2,2,2,540
355,10355,2,6,6,1,0,1,805
356,10356,3,6,1,2,0,2,480
357,10357,1,4,1,2,1,1,445
358,10358,1,6,3,2,0,2,510
359,10359,1,7,3,2,0,2,705
360,10360,1,4,1,1,0,4,340
361,10361,1,5,1,2,0,6,450
362,10362,1,5,2,1,0,2,520
363,10363,1,5,1,1,0,6,390
364,10364,2,4,1,2,0,2,450
365,10365,1,6,5,2,0,6,600
366,10366,1,4,1,2,1,1,570
367,10367,2,7,1,2,0,1,660
368,10368,1,1,6,2,0,3,620
369,10369,2,5,3,2,0,4,515
370,10370,1,3,1,2,3,2,325
371,10371,2,3,1,2,0,3,390
372,10372,2,2,2,1,0,2,560
373,10373,1,6,3,1,0,6,495
374,10374,1,6,5,2,0,2,405
375,10375,1,3,6,2,2,3,975
376,10376,1,5,1,1,0,2,570
377,10377,1,2,6,1,0,1,465
378,10378,1,6,3,1,0,6,500
379,10379,1,5,1,2,0,5,700
380,10380,1,5,6,1,0,3,420
381,10381,1,1,6,2,0,1,600
382,10382,1,4,1,1,1,2,560
383,10383,1,3,6,1,0,1,420
384,10384,1,4,1,1,2,1,360
385,10385,1,7,1,2,0,1,650
386,10386,1,2,2,2,0,2,450
387,10387,1,5,6,2,0,1,410
388,10388,2,1,6,1,0,3,375
389,10389,2,6,5,2,0,2,630
390,10390,1,2,1,1,2,3,520
